Day,Date,SPY_Close,Status,Capital_Deployed,Unrealized_PnL,PnL_Pct,Portfolio_Value,Benchmark_Value,Benchmark_Return_Pct,Strategy_Return_Pct,Alpha_Pct,Reference_IfHeld,Signal_Saved
Day 1,2026-03-09,674.68,Long 10 SPY (T1),6664.36,82.44,1.237,100082.44,99999.99,-0.0,0.0824,0.082,82.44,1106.38
Day 2,2026-03-10,673.52,Long 10 SPY (T1),6664.36,70.84,1.063,100070.84,99828.06,-0.172,0.0708,0.243,70.84,1117.98
Day 3,2026-03-11,672.73,Long 10 SPY (T1),6664.36,62.94,0.944,100062.94,99710.96,-0.289,0.0629,0.352,62.94,1125.88
Day 4,2026-03-12,662.5,FLAT,0.0,0.0,0.0,100015.64,98194.69,-1.805,0.0156,1.821,-39.36,1228.18
Day 5,2026-03-13,658.77,FLAT,0.0,0.0,0.0,100015.64,97641.84,-2.358,0.0156,2.374,-76.66,1265.48
Day 6,2026-03-16,665.4,FLAT,0.0,0.0,0.0,100015.64,98624.52,-1.375,0.0156,1.391,-10.36,1199.18
Day 7,2026-03-17,667.17,FLAT,0.0,0.0,0.0,100015.64,98886.87,-1.113,0.0156,1.129,7.34,1181.48
Day 8,2026-03-18,658.01,FLAT,0.0,0.0,0.0,100015.64,97529.19,-2.471,0.0156,2.487,-84.26,1273.08
Day 9,2026-03-19,656.35,FLAT,0.0,0.0,0.0,100015.64,97283.15,-2.717,0.0156,2.733,-100.86,1289.68
Day 10,2026-03-20,646.81,FLAT,0.0,0.0,0.0,100015.64,95869.14,-4.131,0.0156,4.147,-196.26,1385.08
Day 11,2026-03-23,653.69,FLAT,0.0,0.0,0.0,100015.64,96888.89,-3.111,0.0156,3.127,-127.46,1316.28
Day 12,2026-03-24,651.52,FLAT,0.0,0.0,0.0,100015.64,96567.25,-3.433,0.0156,3.449,-149.16,1337.98
Day 13,2026-03-25,655.05,FLAT,0.0,0.0,0.0,100015.64,97090.46,-2.91,0.0156,2.926,-113.86,1302.68
Day 14,2026-03-26,643.45,FLAT,0.0,0.0,0.0,100015.64,95371.13,-4.629,0.0156,4.645,-229.86,1418.68
Day 15,2026-03-27,632.41,FLAT,0.0,0.0,0.0,100015.64,93734.8,-6.265,0.0156,6.281,-340.26,1529.08
Day 16,2026-03-30,630.4,FLAT,0.0,0.0,0.0,100015.64,93436.88,-6.563,0.0156,6.579,-360.36,1549.18
Day 17,2026-03-31,648.45,FLAT,0.0,0.0,0.0,100015.64,96112.22,-3.888,0.0156,3.904,-179.86,1368.68
Day 18,2026-04-01,653.5,FLAT,0.0,0.0,0.0,100015.64,96860.72,-3.139,0.0156,3.155,-129.36,1318.18
Day 19,2026-04-02,654.08,FLAT,0.0,0.0,0.0,100015.64,96946.69,-3.053,0.0156,3.069,-123.56,1312.38
Day 20,2026-04-06,657.19,FLAT,0.0,0.0,0.0,100015.64,97407.65,-2.592,0.0156,2.608,-92.46,1281.28
Day 21,2026-04-07,657.54,FLAT,0.0,0.0,0.0,100015.64,97459.53,-2.54,0.0156,2.556,-88.96,1277.78
Day 22,2026-04-08,674.26,FLAT,0.0,0.0,0.0,100015.64,99937.74,-0.062,0.0156,0.078,78.24,1110.58
Day 23,2026-04-09,678.12,FLAT,0.0,0.0,0.0,100015.64,100509.86,0.51,0.0156,-0.494,116.84,1071.98
Day 24,2026-04-10,677.6,FLAT,0.0,0.0,0.0,100015.64,100432.79,0.433,0.0156,-0.417,111.64,1077.18
